,mean_absolute_percentage_error,rmspe,mean_absolute_percentage_error_sample,rmspe_sample,lstm_activatation,lstm_nodes,seq_len
0,0.017139033973217012,0.02272620350122451,0.02183072633485882,0.022084121506996658,selu,"[32, 16, 16, 16]",120
1,0.01701045781373977,0.01938050240278244,0.02487941553431905,0.02509075807945942,relu,"[64, 32, 32, 32]",30
2,0.01670058,0.019088945,0.025439455344362948,0.025703336301493317,tanh,"[16, 32, 64, 128]",120
3,0.01692407429218292,0.019161105155944817,0.0254637772275176,0.02570390232993262,tanh,"[128, 64, 64, 64]",120
4,0.01682982295751571,0.01913006603717804,0.026117918994084673,0.02635673467882659,relu,"[16, 32, 64, 128]",120
5,0.0166701078414917,0.019058956205844878,0.026316173620287132,0.02656782455043572,tanh,"[32, 16, 16, 16]",120
6,0.01645776778459549,0.01879037916660308,0.02669852257786127,0.02694452460852827,relu,"[128, 64, 64, 64]",120
7,0.016582101583480828,0.01886815130710601,0.02785760136523303,0.02798676296422294,tanh,"[64, 32, 32, 32]",30
8,0.01778012216091156,0.020609812438488,0.028088446950323392,0.028331495011558478,relu,"[32, 16, 16, 16]",120
9,0.0172981321811676,0.01972308605909347,0.028199635949631353,0.028442220091109537,relu,"[64, 32, 32, 32]",120
10,0.01701292842626571,0.01936313807964325,0.02830371852062809,0.02854331277529696,selu,"[128, 64, 64, 64]",120
11,0.01716825515031814,0.01952639073133468,0.02855574136627705,0.02879202148396549,selu,"[16, 32, 64, 128]",120
12,0.0179933100938797,0.02037840336561203,0.02873646190997316,0.02897254336069326,tanh,"[64, 32, 32, 32]",120
13,0.01679505109786987,0.019120228290557862,0.029212333270209678,0.02925453387976768,selu,"[128, 64, 64, 64]",10
14,0.01676924228668213,0.01906159818172454,0.029296523429466793,0.02942555663373027,selu,"[128, 64, 64, 64]",30
15,0.01672458052635193,0.01901906430721283,0.029567312083551088,0.029695502742408043,relu,"[32, 16, 16, 16]",30
16,0.01775471419095993,0.02025971114635467,0.02978828606718547,0.0300352483085513,selu,"[64, 32, 32, 32]",120
17,0.01712550222873687,0.01942829042673111,0.03001857847854409,0.030142092021082013,relu,"[16, 32, 64, 128]",30
18,0.01676641404628753,0.01911158859729766,0.03016126950699443,0.03028727328645519,selu,"[32, 16, 16, 16]",30
19,0.016456668,0.018796746,0.030208238340728173,0.030241058576834613,selu,"[32, 16, 16, 16]",10
20,0.01640302687883377,0.01878798604011535,0.03032966423721294,0.03037796269735494,relu,"[64, 32, 32, 32]",10
21,0.0174080953001976,0.01964579224586486,0.03047312857158973,0.03059566899516224,relu,"[128, 64, 64, 64]",30
22,0.017149458825588222,0.01944251954555511,0.03085346706221178,0.03097869033598059,selu,"[64, 32, 32, 32]",30
23,0.017540071904659272,0.01975884884595871,0.0309775786323422,0.0311033319429888,tanh,"[128, 64, 64, 64]",30
24,0.01672746539115905,0.01903959959745407,0.0315317691236565,0.031579427229118,selu,"[64, 32, 32, 32]",10
25,0.01859370768070221,0.02056648284196853,0.032231306733138544,0.03235222672892721,selu,"[16, 32, 64, 128]",30
26,0.01757382005453109,0.02069257646799087,0.03231985448903854,0.032473823403270666,tanh,"[32, 16, 16, 16]",30
27,0.016382727026939388,0.018742802739143367,0.03254052339156552,0.032586176581890954,relu,"[32, 16, 16, 16]",10
28,0.01662791669368744,0.01900767385959625,0.03273972046661505,0.032781911369380426,tanh,"[64, 32, 32, 32]",10
29,0.01696044504642486,0.01927417814731598,0.03291573272521555,0.03296221606399802,tanh,"[32, 16, 16, 16]",10
30,0.017037148773670192,0.01933016777038574,0.03348319558499752,0.03352531977552271,selu,"[16, 32, 64, 128]",10
31,0.01696802079677581,0.01931708008050918,0.03397548923798696,0.034071160014365484,relu,"[16, 32, 64, 128]",10
32,0.01693706810474395,0.01928411573171615,0.03442196098268242,0.03446346797061581,tanh,"[128, 64, 64, 64]",10
33,0.01725142449140548,0.019686305522918703,0.035081909877737336,0.03512550654344396,relu,"[128, 64, 64, 64]",10
